feature,value
y_squared_sum_DNase::activated_cd4_positive_cd25_positive_alpha_beta_regulatory_t_cell__pc,824316.370001338
xy_sum_DNase::activated_cd4_positive_cd25_positive_alpha_beta_regulatory_t_cell__pc,731840.185275833
n_DNase::activated_cd4_positive_cd25_positive_alpha_beta_regulatory_t_cell__pc,257088255.0
pearson_r_DNase::activated_cd8_positive_alpha_beta_memory_t_cell__pc,-0.002525781595023114
p_value_DNase::activated_cd8_positive_alpha_beta_memory_t_cell__pc,0.0
fraction_within_DNase::activated_cd8_positive_alpha_beta_memory_t_cell__pc,0.0025683605892220553
cosine_similarity_DNase::activated_cd8_positive_alpha_beta_memory_t_cell__pc,0.011787467242271582
x_sum_DNase::activated_cd8_positive_alpha_beta_memory_t_cell__pc,257023778.68751895
y_sum_DNase::activated_cd8_positive_alpha_beta_memory_t_cell__pc,797102.5000652075
x_squared_sum_DNase::activated_cd8_positive_alpha_beta_memory_t_cell__pc,3961898257.5035076
y_squared_sum_DNase::activated_cd8_positive_alpha_beta_memory_t_cell__pc,792012.7099991261
xy_sum_DNase::activated_cd8_positive_alpha_beta_memory_t_cell__pc,660295.34209387
n_DNase::activated_cd8_positive_alpha_beta_memory_t_cell__pc,257088255.0
pearson_r_DNase::activated_cd8_positive_alpha_beta_t_cell__pc,-0.0018045734856052293
p_value_DNase::activated_cd8_positive_alpha_beta_t_cell__pc,4.396814643509315e-184
fraction_within_DNase::activated_cd8_positive_alpha_beta_t_cell__pc,0.008330051660454483
cosine_similarity_DNase::activated_cd8_positive_alpha_beta_t_cell__pc,0.022452221591069046
x_sum_DNase::activated_cd8_positive_alpha_beta_t_cell__pc,257023778.68751895
y_sum_DNase::activated_cd8_positive_alpha_beta_t_cell__pc,2307834.800139159
x_squared_sum_DNase::activated_cd8_positive_alpha_beta_t_cell__pc,3961898257.5035076
y_squared_sum_DNase::activated_cd8_positive_alpha_beta_t_cell__pc,2296349.0599881965
xy_sum_DNase::activated_cd8_positive_alpha_beta_t_cell__pc,2141558.4454460954
n_DNase::activated_cd8_positive_alpha_beta_t_cell__pc,257088255.0
pearson_r_DNase::activated_effector_memory_cd4_positive_alpha_beta_t_cell__pc,-0.001162646551444729
p_value_DNase::activated_effector_memory_cd4_positive_alpha_beta_t_cell__pc,1.4707028434772225e-77
fraction_within_DNase::activated_effector_memory_cd4_positive_alpha_beta_t_cell__pc,0.011073808711593521
cosine_similarity_DNase::activated_effector_memory_cd4_positive_alpha_beta_t_cell__pc,0.026312530150949014
x_sum_DNase::activated_effector_memory_cd4_positive_alpha_beta_t_cell__pc,257023778.68751895
y_sum_DNase::activated_effector_memory_cd4_positive_alpha_beta_t_cell__pc,2968630.500168152
x_squared_sum_DNase::activated_effector_memory_cd4_positive_alpha_beta_t_cell__pc,3961898257.5035076
y_squared_sum_DNase::activated_effector_memory_cd4_positive_alpha_beta_t_cell__pc,2954812.7699866104
xy_sum_DNase::activated_effector_memory_cd4_positive_alpha_beta_t_cell__pc,2846946.1578673767
n_DNase::activated_effector_memory_cd4_positive_alpha_beta_t_cell__pc,257088255.0
pearson_r_DNase::activated_gamma_delta_t_cell__pc,-0.0024056405113968677
p_value_DNase::activated_gamma_delta_t_cell__pc,0.0
fraction_within_DNase::activated_gamma_delta_t_cell__pc,0.0020548769650464375
cosine_similarity_DNase::activated_gamma_delta_t_cell__pc,0.010475716533191171
x_sum_DNase::activated_gamma_delta_t_cell__pc,257023778.68751895
y_sum_DNase::activated_gamma_delta_t_cell__pc,645613.5000466332
x_squared_sum_DNase::activated_gamma_delta_t_cell__pc,3961898257.5035076
y_squared_sum_DNase::activated_gamma_delta_t_cell__pc,641896.9699986876
xy_sum_DNase::activated_gamma_delta_t_cell__pc,528284.7331834846
n_DNase::activated_gamma_delta_t_cell__pc,257088255.0
pearson_r_DNase::activated_naive_cd4_positive_alpha_beta_t_cell__pc,-0.0023823540192287537
p_value_DNase::activated_naive_cd4_positive_alpha_beta_t_cell__pc,2.965e-319
fraction_within_DNase::activated_naive_cd4_positive_alpha_beta_t_cell__pc,0.0045831721374371215
cosine_similarity_DNase::activated_naive_cd4_positive_alpha_beta_t_cell__pc,0.016175997759778793
x_sum_DNase::activated_naive_cd4_positive_alpha_beta_t_cell__pc,257023778.68751895
y_sum_DNase::activated_naive_cd4_positive_alpha_beta_t_cell__pc,1345987.0000866652
x_squared_sum_DNase::activated_naive_cd4_positive_alpha_beta_t_cell__pc,3961898257.5035076
y_squared_sum_DNase::activated_naive_cd4_positive_alpha_beta_t_cell__pc,1339218.1799999936
xy_sum_DNase::activated_naive_cd4_positive_alpha_beta_t_cell__pc,1178279.7271783298
n_DNase::activated_naive_cd4_positive_alpha_beta_t_cell__pc,257088255.0
pearson_r_DNase::activated_naive_cd8_positive_alpha_beta_t_cell__pc,-0.0021534549278810684
p_value_DNase::activated_naive_cd8_positive_alpha_beta_t_cell__pc,2.999606264613518e-261
fraction_within_DNase::activated_naive_cd8_positive_alpha_beta_t_cell__pc,0.0066845633178570845
cosine_similarity_DNase::activated_naive_cd8_positive_alpha_beta_t_cell__pc,0.019869477529789764
x_sum_DNase::activated_naive_cd8_positive_alpha_beta_t_cell__pc,257023778.68751895
y_sum_DNase::activated_naive_cd8_positive_alpha_beta_t_cell__pc,1898441.3001264185
x_squared_sum_DNase::activated_naive_cd8_positive_alpha_beta_t_cell__pc,3961898257.5035076
y_squared_sum_DNase::activated_naive_cd8_positive_alpha_beta_t_cell__pc,1888140.6499903994
xy_sum_DNase::activated_naive_cd8_positive_alpha_beta_t_cell__pc,1718522.718824888
n_DNase::activated_naive_cd8_positive_alpha_beta_t_cell__pc,257088255.0
pearson_r_DNase::activated_t_cell__pc,-0.0027261128036419643
p_value_DNase::activated_t_cell__pc,0.0
fraction_within_DNase::activated_t_cell__pc,0.004365104652221213
cosine_similarity_DNase::activated_t_cell__pc,0.015606614701139962
x_sum_DNase::activated_t_cell__pc,257023778.68751895
y_sum_DNase::activated_t_cell__pc,1311621.3000779748
x_squared_sum_DNase::activated_t_cell__pc,3961898257.5035076
y_squared_sum_DNase::activated_t_cell__pc,1305067.749990463
xy_sum_DNase::activated_t_cell__pc,1122217.1379319334
n_DNase::activated_t_cell__pc,257088255.0
pearson_r_DNase::activated_t_helper_1_cell__pc,-0.0027023967723094474
p_value_DNase::activated_t_helper_1_cell__pc,0.0
fraction_within_DNase::activated_t_helper_1_cell__pc,0.0023179213349577526
cosine_similarity_DNase::activated_t_helper_1_cell__pc,0.0110657339226519
x_sum_DNase::activated_t_helper_1_cell__pc,257023778.68751895
y_sum_DNase::activated_t_helper_1_cell__pc,736622.7000549063
x_squared_sum_DNase::activated_t_helper_1_cell__pc,3961898257.5035076
y_squared_sum_DNase::activated_t_helper_1_cell__pc,731978.109993787
xy_sum_DNase::activated_t_helper_1_cell__pc,595910.3512315592
n_DNase::activated_t_helper_1_cell__pc,257088255.0
pearson_r_DNase::activated_t_helper_2_cell__pc,-0.002315740877823868
p_value_DNase::activated_t_helper_2_cell__pc,9.024908561380521e-302
fraction_within_DNase::activated_t_helper_2_cell__pc,0.0019455724601751294
cosine_similarity_DNase::activated_t_helper_2_cell__pc,0.010206782670993697
x_sum_DNase::activated_t_helper_2_cell__pc,257023778.68751895
y_sum_DNase::activated_t_helper_2_cell__pc,609946.9000437185
x_squared_sum_DNase::activated_t_helper_2_cell__pc,3961898257.5035076
y_squared_sum_DNase::activated_t_helper_2_cell__pc,606147.389992242
xy_sum_DNase::activated_t_helper_2_cell__pc,500183.828762481
n_DNase::activated_t_helper_2_cell__pc,257088255.0
pearson_r_DNase::activated_t_helper_9_cell__pc,-0.002312634883878622
p_value_DNase::activated_t_helper_9_cell__pc,5.735449426799282e-301
fraction_within_DNase::activated_t_helper_9_cell__pc,0.0010913971280469882
cosine_similarity_DNase::activated_t_helper_9_cell__pc,0.00739508296188889
x_sum_DNase::activated_t_helper_9_cell__pc,257023778.68751895
y_sum_DNase::activated_t_helper_9_cell__pc,365469.50002429634
x_squared_sum_DNase::activated_t_helper_9_cell__pc,3961898257.5035076
y_squared_sum_DNase::activated_t_helper_9_cell__pc,363362.9699959517
xy_sum_DNase::activated_t_helper_9_cell__pc,280585.38316161174
n_DNase::activated_t_helper_9_cell__pc,257088255.0
pearson_r_DNase::adipocyte__embryo_ivdc,-0.00029260926758210935
p_value_DNase::adipocyte__embryo_ivdc,2.7095916389834834e-06
fraction_within_DNase::adipocyte__embryo_ivdc,0.016446597326369848
cosine_similarity_DNase::adipocyte__embryo_ivdc,0.03258827515437232
x_sum_DNase::adipocyte__embryo_ivdc,257023778.68751895
y_sum_DNase::adipocyte__embryo_ivdc,4265703.100206077
x_squared_sum_DNase::adipocyte__embryo_ivdc,3961898257.5035076
y_squared_sum_DNase::adipocyte__embryo_ivdc,4249037.1099872375
xy_sum_DNase::adipocyte__embryo_ivdc,4228227.007324089
n_DNase::adipocyte__embryo_ivdc,257088255.0
pearson_r_DNase::adrenal_gland__embryo_tis,-0.0007021332417777176
p_value_DNase::adrenal_gland__embryo_tis,2.1153803779691383e-29
fraction_within_DNase::adrenal_gland__embryo_tis,0.0038155740101814984
cosine_similarity_DNase::adrenal_gland__embryo_tis,0.01546020314541142
x_sum_DNase::adrenal_gland__embryo_tis,257023778.68751895
y_sum_DNase::adrenal_gland__embryo_tis,1024190.500101544
x_squared_sum_DNase::adrenal_gland__embryo_tis,3961898257.5035076
y_squared_sum_DNase::adrenal_gland__embryo_tis,1016132.9299969549
xy_sum_DNase::adrenal_gland__embryo_tis,980939.2641009137
n_DNase::adrenal_gland__embryo_tis,257088255.0
pearson_r_DNase::adrenal_gland__tis,-0.0012753393545452245
p_value_DNase::adrenal_gland__tis,6.161725824243132e-93
fraction_within_DNase::adrenal_gland__tis,0.00830011547253081
cosine_similarity_DNase::adrenal_gland__tis,0.022709127780175566
x_sum_DNase::adrenal_gland__tis,257023778.68751895
y_sum_DNase::adrenal_gland__tis,2249799.300167948
x_squared_sum_DNase::adrenal_gland__tis,3961898257.5035076
y_squared_sum_DNase::adrenal_gland__tis,2228581.4700049777
xy_sum_DNase::adrenal_gland__tis,2133862.203131446
n_DNase::adrenal_gland__tis,257088255.0
pearson_r_DNase::ag04449__embryo_cancer_cl,3.720536379892572e-06
p_value_DNase::ag04449__embryo_cancer_cl,0.8857946115515902
fraction_within_DNase::ag04449__embryo_cancer_cl,0.0032305263049732438
cosine_similarity_DNase::ag04449__embryo_cancer_cl,0.014526774899749649
x_sum_DNase::ag04449__embryo_cancer_cl,257023778.68751895
y_sum_DNase::ag04449__embryo_cancer_cl,830533.3000671938
x_squared_sum_DNase::ag04449__embryo_cancer_cl,3961898257.5035076
y_squared_sum_DNase::ag04449__embryo_cancer_cl,825029.1699948121
xy_sum_DNase::ag04449__embryo_cancer_cl,830530.370477169
n_DNase::ag04449__embryo_cancer_cl,257088255.0
pearson_r_DNase::ag04450__embryo_cancer_cl,-0.0005240897685678463
p_value_DNase::ag04450__embryo_cancer_cl,4.343217555066211e-17
fraction_within_DNase::ag04450__embryo_cancer_cl,0.003379023243167988
cosine_similarity_DNase::ag04450__embryo_cancer_cl,0.014600661378828653
x_sum_DNase::ag04450__embryo_cancer_cl,257023778.68751895
y_sum_DNase::ag04450__embryo_cancer_cl,899033.6000659689
x_squared_sum_DNase::ag04450__embryo_cancer_cl,3961898257.5035076
y_squared_sum_DNase::ag04450__embryo_cancer_cl,893508.019992076
xy_sum_DNase::ag04450__embryo_cancer_cl,868707.1891904987
n_DNase::ag04450__embryo_cancer_cl,257088255.0
pearson_r_DNase::ag08395__cl,-0.00042785612247240175
p_value_DNase::ag08395__cl,6.874821023771219e-12
fraction_within_DNase::ag08395__cl,0.009691254101804889
cosine_similarity_DNase::ag08395__cl,0.02494014881571262
x_sum_DNase::ag08395__cl,257023778.68751895
y_sum_DNase::ag08395__cl,2533270.9001738206
x_squared_sum_DNase::ag08395__cl,3961898257.5035076
y_squared_sum_DNase::ag08395__cl,2518970.229983956
xy_sum_DNase::ag08395__cl,2491507.6057946114
n_DNase::ag08395__cl,257088255.0
pearson_r_DNase::ag08396__cl,-0.0009946878824209032
p_value_DNase::ag08396__cl,2.9041737980555586e-57
fraction_within_DNase::ag08396__cl,0.006834230803341511
cosine_similarity_DNase::ag08396__cl,0.020653644874040176
x_sum_DNase::ag08396__cl,257023778.68751895
y_sum_DNase::ag08396__cl,1838994.3001487777
x_squared_sum_DNase::ag08396__cl,3961898257.5035076
y_squared_sum_DNase::ag08396__cl,1826615.0299853
xy_sum_DNase::ag08396__cl,1757000.471498317
n_DNase::ag08396__cl,257088255.0
pearson_r_DNase::ag09309__cl,-0.00040873242178737513
p_value_DNase::ag09309__cl,5.6164666958720226e-11
fraction_within_DNase::ag09309__cl,0.0043401576797334205
cosine_similarity_DNase::ag09309__cl,0.016629239462718624
x_sum_DNase::ag09309__cl,257023778.68751895
y_sum_DNase::ag09309__cl,1142552.0000761375
x_squared_sum_DNase::ag09309__cl,3961898257.5035076
y_squared_sum_DNase::ag09309__cl,1136389.9799952772
xy_sum_DNase::ag09309__cl,1115803.5643075139
n_DNase::ag09309__cl,257088255.0
pearson_r_DNase::ag10803__cl,-8.775616221736886e-05
p_value_DNase::ag10803__cl,0.15940381671730947
fraction_within_DNase::ag10803__cl,0.01521070510573866
cosine_similarity_DNase::ag10803__cl,0.03142740516820163
x_sum_DNase::ag10803__cl,257023778.68751895
y_sum_DNase::ag10803__cl,3921955.5001749992
x_squared_sum_DNase::ag10803__cl,3961898257.5035076
y_squared_sum_DNase::ag10803__cl,3907894.209991463
xy_sum_DNase::ag10803__cl,3910493.6329539428
n_DNase::ag10803__cl,257088255.0
pearson_r_DNase::ag20443__cl,-0.0002020204115007086
p_value_DNase::ag20443__cl,0.00119869930558861
fraction_within_DNase::ag20443__cl,0.01081869858346125
cosine_similarity_DNase::ag20443__cl,0.026470803921206123
x_sum_DNase::ag20443__cl,257023778.68751895
y_sum_DNase::ag20443__cl,2802477.300195217
x_squared_sum_DNase::ag20443__cl,3961898257.5035076
y_squared_sum_DNase::ag20443__cl,2786614.769986602
xy_sum_DNase::ag20443__cl,2781360.3401930244
n_DNase::ag20443__cl,257088255.0
pearson_r_DNase::ammons_horn__tis,-0.0010463320014688375
p_value_DNase::ammons_horn__tis,3.6038084956150265e-63
fraction_within_DNase::ammons_horn__tis,0.007689484299168167
cosine_similarity_DNase::ammons_horn__tis,0.02192406276051761
x_sum_DNase::ammons_horn__tis,257023778.68751895
y_sum_DNase::ammons_horn__tis,2068260.3001993746
x_squared_sum_DNase::ammons_horn__tis,3961898257.5035076
y_squared_sum_DNase::ammons_horn__tis,2052170.8299899942
xy_sum_DNase::ammons_horn__tis,1976876.100323042
n_DNase::ammons_horn__tis,257088255.0
pearson_r_DNase::amniotic_epithelial_cell__pc,0.0001438634022385795
p_value_DNase::amniotic_epithelial_cell__pc,0.02107146586588334
fraction_within_DNase::amniotic_epithelial_cell__pc,0.01794845255023048
cosine_similarity_DNase::amniotic_epithelial_cell__pc,0.034255470266212236
x_sum_DNase::amniotic_epithelial_cell__pc,257023778.68751895
y_sum_DNase::amniotic_epithelial_cell__pc,4596918.200207211
x_squared_sum_DNase::amniotic_epithelial_cell__pc,3961898257.5035076
y_squared_sum_DNase::amniotic_epithelial_cell__pc,4579892.759984538
xy_sum_DNase::amniotic_epithelial_cell__pc,4614336.346089054
n_DNase::amniotic_epithelial_cell__pc,257088255.0
pearson_r_DNase::aorta__tis,-0.00043314285235833465
p_value_DNase::aorta__tis,3.784589128087834e-12
fraction_within_DNase::aorta__tis,0.018245010454698642
cosine_similarity_DNase::aorta__tis,0.034278742607922935
x_sum_DNase::aorta__tis,257023778.68751895
y_sum_DNase::aorta__tis,4748549.900279008
x_squared_sum_DNase::aorta__tis,3961898257.5035076
y_squared_sum_DNase::aorta__tis,4726064.24998543
xy_sum_DNase::aorta__tis,4690577.90025523
n_DNase::aorta__tis,257088255.0
pearson_r_DNase::ascending_aorta__tis,0.00025601380561797026
p_value_DNase::ascending_aorta__tis,4.044582002500013e-05
fraction_within_DNase::ascending_aorta__tis,0.023100454126713545
cosine_similarity_DNase::ascending_aorta__tis,0.039173206987848826
x_sum_DNase::ascending_aorta__tis,257023778.68751895
y_sum_DNase::ascending_aorta__tis,5903243.800444797
x_squared_sum_DNase::ascending_aorta__tis,3961898257.5035076
y_squared_sum_DNase::ascending_aorta__tis,5801281.44000724
xy_sum_DNase::ascending_aorta__tis,5938855.441144334
n_DNase::ascending_aorta__tis,257088255.0
pearson_r_DNase::astrocyte__ivdc,0.0005078318764153445
p_value_DNase::astrocyte__ivdc,3.8699878286843556e-16
fraction_within_DNase::astrocyte__ivdc,0.007323133217834181
cosine_similarity_DNase::astrocyte__ivdc,0.02209658472420567
x_sum_DNase::astrocyte__ivdc,257023778.68751895
y_sum_DNase::astrocyte__ivdc,1841462.2001128048
x_squared_sum_DNase::astrocyte__ivdc,3961898257.5035076
y_squared_sum_DNase::astrocyte__ivdc,1832334.3199911334
xy_sum_DNase::astrocyte__ivdc,1882691.5401055245
n_DNase::astrocyte__ivdc,257088255.0
pearson_r_DNase::astrocyte__pc,0.00013312218038232125
p_value_DNase::astrocyte__pc,0.032803749905172666
fraction_within_DNase::astrocyte__pc,0.014913328568052353
cosine_similarity_DNase::astrocyte__pc,0.03122995222080785
x_sum_DNase::astrocyte__pc,257023778.68751895
y_sum_DNase::astrocyte__pc,3819313.5001864135
x_squared_sum_DNase::astrocyte__pc,3961898257.5035076
y_squared_sum_DNase::astrocyte__pc,3804238.0699892305
xy_sum_DNase::astrocyte__pc,3834041.6178022283
n_DNase::astrocyte__pc,257088255.0
pearson_r_DNase::astrocyte_of_the_cerebellum__pc,-0.00034044116577496366
p_value_DNase::astrocyte_of_the_cerebellum__pc,4.798384128742833e-08
fraction_within_DNase::astrocyte_of_the_cerebellum__pc,0.005600381763953669
cosine_similarity_DNase::astrocyte_of_the_cerebellum__pc,0.01894417027760158
x_sum_DNase::astrocyte_of_the_cerebellum__pc,257023778.68751895
y_sum_DNase::astrocyte_of_the_cerebellum__pc,1465109.1000872776
x_squared_sum_DNase::astrocyte_of_the_cerebellum__pc,3961898257.5035076
y_squared_sum_DNase::astrocyte_of_the_cerebellum__pc,1457958.769995026
xy_sum_DNase::astrocyte_of_the_cerebellum__pc,1439792.3750286708
n_DNase::astrocyte_of_the_cerebellum__pc,257088255.0
pearson_r_DNase::astrocyte_of_the_hippocampus__pc,-4.789029096353255e-05
p_value_DNase::astrocyte_of_the_hippocampus__pc,0.4425637607616342
fraction_within_DNase::astrocyte_of_the_hippocampus__pc,0.01773678481179581
cosine_similarity_DNase::astrocyte_of_the_hippocampus__pc,0.03396793029382256
x_sum_DNase::astrocyte_of_the_hippocampus__pc,257023778.68751895
y_sum_DNase::astrocyte_of_the_hippocampus__pc,4567225.700235613
x_squared_sum_DNase::astrocyte_of_the_hippocampus__pc,3961898257.5035076
y_squared_sum_DNase::astrocyte_of_the_hippocampus__pc,4548547.949992063
xy_sum_DNase::astrocyte_of_the_hippocampus__pc,4559919.056575088
n_DNase::astrocyte_of_the_hippocampus__pc,257088255.0
pearson_r_DNase::astrocyte_of_the_spinal_cord__pc,-0.00028394809803751074
p_value_DNase::astrocyte_of_the_spinal_cord__pc,5.293262533567902e-06
fraction_within_DNase::astrocyte_of_the_spinal_cord__pc,0.013882406024197718
cosine_similarity_DNase::astrocyte_of_the_spinal_cord__pc,0.029932090814908746
x_sum_DNase::astrocyte_of_the_spinal_cord__pc,257023778.68751895
y_sum_DNase::astrocyte_of_the_spinal_cord__pc,3602416.600173928
x_squared_sum_DNase::astrocyte_of_the_spinal_cord__pc,3961898257.5035076
y_squared_sum_DNase::astrocyte_of_the_spinal_cord__pc,3588529.5799912224
xy_sum_DNase::astrocyte_of_the_spinal_cord__pc,3569003.5399624794
n_DNase::astrocyte_of_the_spinal_cord__pc,257088255.0
pearson_r_DNase::b_cell__pc,-0.0024548081596422614
p_value_DNase::b_cell__pc,0.0
fraction_within_DNase::b_cell__pc,0.011971691235317872
cosine_similarity_DNase::b_cell__pc,0.026784011356215335
x_sum_DNase::b_cell__pc,257023778.68751895
y_sum_DNase::b_cell__pc,3349613.200207047
x_squared_sum_DNase::b_cell__pc,3961898257.5035076
y_squared_sum_DNase::b_cell__pc,3332889.5999876736
xy_sum_DNase::b_cell__pc,3077781.2090866663
n_DNase::b_cell__pc,257088255.0
pearson_r_DNase::be2c__cancer_cl,-0.00026070844205495065
p_value_DNase::be2c__cancer_cl,2.9126339984217427e-05
fraction_within_DNase::be2c__cancer_cl,0.008626850456321361
cosine_similarity_DNase::be2c__cancer_cl,0.02359046917896448
x_sum_DNase::be2c__cancer_cl,257023778.68751895
y_sum_DNase::be2c__cancer_cl,2242022.500137724
x_squared_sum_DNase::be2c__cancer_cl,3961898257.5035076
y_squared_sum_DNase::be2c__cancer_cl,2230963.8699946003
xy_sum_DNase::be2c__cancer_cl,2217861.9299616124
n_DNase::be2c__cancer_cl,257088255.0
pearson_r_DNase::bj__cl,-4.83532063963278e-06
p_value_DNase::bj__cl,0.9017853628098951
fraction_within_DNase::bj__cl,0.004129920242831205
cosine_similarity_DNase::bj__cl,0.01640575943114741
x_sum_DNase::bj__cl,257023778.68751895
y_sum_DNase::bj__cl,1062322.400062427
x_squared_sum_DNase::bj__cl,3961898257.5035076
y_squared_sum_DNase::bj__cl,1057186.979994747
xy_sum_DNase::bj__cl,1061753.9885186509
n_DNase::bj__cl,257088255.0
pearson_r_DNase::body_of_pancreas__tis,-0.000807306522046788
p_value_DNase::body_of_pancreas__tis,2.529536055220185e-38
fraction_within_DNase::body_of_pancreas__tis,0.010216766281290104
