Split,Threshold Version,AUC,Accuracy,Balanced Accuracy,F1,Sensitivity,Specificity,PPV,NPV,TP,FP,TN,FN,Threshold,Positive Class,Num Classes,Model,Task,Experiment,Seed,Repetition,Num Warnings
GECOCA,High Specificity Threshold,0.8832309043020192,0.6488095238095238,0.7688762071992976,0.7203791469194313,0.5671641791044776,0.9705882352941176,0.987012987012987,0.3626373626373626,76,1,33,58,0.7477012276649475,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Jiang 2015,High Specificity Threshold,0.9022048364153628,0.75,0.8044096728307255,0.7704918032786885,0.6351351351351351,0.9736842105263158,0.9791666666666666,0.578125,47,1,37,27,0.6524239778518677,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Mathios 2021,High Specificity Threshold,0.8520138509203572,0.8,0.7300893019865136,0.6351351351351351,0.5053763440860215,0.9548022598870056,0.8545454545454545,0.786046511627907,47,8,169,46,0.799439013004303,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Mathios 2021 Validation,High Specificity Threshold,0.9824957651044608,0.9605568445475638,0.9300677583286279,0.8282828282828283,0.8913043478260869,0.9688311688311688,0.7735849056603774,0.9867724867724867,41,12,373,5,0.5756227970123291,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Nordentoft 2024 and Frydendahl 2024,High Specificity Threshold,0.8618146530810287,0.5218978102189781,0.6961183891314896,0.6042296072507554,0.4366812227074236,0.9555555555555556,0.9803921568627451,0.25,100,2,43,129,0.6960809230804443,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Budhraja 2023,0.5 Threshold,0.9833829365079365,0.90625,0.9285714285714286,0.94375,0.8988095238095238,0.9583333333333334,0.993421052631579,0.575,151,1,23,17,0.5,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Cristiano 2019,0.5 Threshold,0.9709016393442623,0.9071729957805907,0.9063435495367071,0.9017857142857143,0.8782608695652174,0.9344262295081968,0.926605504587156,0.890625,202,16,228,28,0.5,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Endoscopy II,0.5 Threshold,0.7657708100037327,0.7058823529411765,0.7046472564389699,0.6781115879828327,0.6929824561403509,0.7163120567375887,0.6638655462184874,0.7426470588235294,79,40,101,35,0.5,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
GECOCA,0.5 Threshold,0.8832309043020192,0.8273809523809523,0.7710711150131695,0.8888888888888888,0.8656716417910447,0.6764705882352942,0.9133858267716536,0.5609756097560976,116,11,23,18,0.5,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Jiang 2015,0.5 Threshold,0.9022048364153628,0.8035714285714286,0.8257467994310099,0.835820895522388,0.7567567567567568,0.8947368421052632,0.9333333333333333,0.6538461538461539,56,4,34,18,0.5,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Mathios 2021,0.5 Threshold,0.8520138509203572,0.7888888888888889,0.7726444322945143,0.7015706806282722,0.7204301075268817,0.8248587570621468,0.6836734693877551,0.8488372093023255,67,31,146,26,0.5,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Mathios 2021 Validation,0.5 Threshold,0.9824957651044608,0.9466357308584686,0.9222755505364201,0.780952380952381,0.8913043478260869,0.9532467532467532,0.6949152542372882,0.9865591397849462,41,18,367,5,0.5,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Nordentoft 2024 and Frydendahl 2024,0.5 Threshold,0.8618146530810287,0.7445255474452555,0.8025230470645317,0.8241206030150754,0.7161572052401747,0.8888888888888888,0.9704142011834319,0.38095238095238093,164,5,40,65,0.5,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
