,validation_dataset,Threshold Version,AUC,Accuracy,Balanced Accuracy,F1,Sensitivity,Specificity,PPV,NPV,TP,FP,TN,FN,Threshold,best_pca_var,best_C,best_inner_bal_acc,n_test_samples
14,Jiang,0.5 Threshold,0.8815789473684211,0.6875,0.7443100995732574,0.7058823529411765,0.5675675675675675,0.9210526315789473,0.9333333333333333,0.5223880597014925,42,3,35,32,0.5,0.987,0.04,0.7452952363084631,112
15,Mathios,Max. J Threshold,0.7492254419537088,0.725925925925926,0.7297248040823765,0.6509433962264152,0.7419354838709677,0.7175141242937854,0.5798319327731093,0.8410596026490066,69,50,127,24,0.2872547294302799,0.987,0.04,0.7290855180389141,270
16,Mathios,High Specificity Threshold,0.7492254419537088,0.737037037037037,0.6361399671951886,0.4496124031007752,0.3118279569892473,0.96045197740113,0.8055555555555556,0.7264957264957265,29,7,170,64,0.632722457156174,0.987,0.04,0.7290855180389141,270
17,Mathios,0.5 Threshold,0.7492254419537088,0.7148148148148148,0.6319482412976125,0.4689655172413793,0.3655913978494624,0.8983050847457628,0.6538461538461539,0.7293577981651376,34,18,159,59,0.5,0.987,0.04,0.7290855180389141,270
18,MathiosValidation,Max. J Threshold,0.900677583286279,0.8236658932714617,0.8343026538678713,0.5064935064935064,0.8478260869565217,0.8207792207792208,0.3611111111111111,0.978328173374613,39,69,316,7,0.376571878591424,0.99,0.05,0.7196391200246159,431
19,MathiosValidation,High Specificity Threshold,0.900677583286279,0.925754060324826,0.7574534161490682,0.6097560975609756,0.5434782608695652,0.9714285714285714,0.6944444444444444,0.9468354430379747,25,11,374,21,0.5465169575844503,0.99,0.05,0.7196391200246159,431
20,MathiosValidation,0.5 Threshold,0.900677583286279,0.9048723897911833,0.7744776962168267,0.577319587628866,0.6086956521739131,0.9402597402597402,0.5490196078431373,0.9526315789473684,28,23,362,18,0.5,0.99,0.05,0.7196391200246159,431
21,NordentoftFrydendahl,Max. J Threshold,0.6368753032508491,0.6277372262773723,0.6344492964580302,0.7371134020618556,0.6244541484716157,0.6444444444444445,0.89937106918239,0.25217391304347825,143,16,29,86,0.7737683054563067,0.987,0.04,0.7494892568553779,274
22,NordentoftFrydendahl,High Specificity Threshold,0.6368753032508491,0.36496350364963503,0.6022319262493935,0.39583333333333337,0.24890829694323144,0.9555555555555556,0.9661016949152542,0.2,57,2,43,172,0.8646559081930345,0.987,0.04,0.7494892568553779,274
23,NordentoftFrydendahl,0.5 Threshold,0.6368753032508491,0.8138686131386861,0.4868995633187773,0.89738430583501,0.9737991266375546,0.0,0.832089552238806,0.0,223,45,0,6,0.5,0.987,0.04,0.7494892568553779,274
